City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
468,Contai,IN,21.7786,87.7536,86.9,64,41,15.79,scattered clouds
469,Las Palmas,ES,28.4204,-14.0131,56.19,72,0,1.14,clear sky
470,Preobrazheniye,RU,42.9019,133.9064,45.25,61,1,11.7,clear sky
471,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.76,67,54,2.93,broken clouds
472,Leh,IN,34.1667,77.5833,35.2,48,46,4.09,scattered clouds
473,Quatre Cocos,MU,-20.2078,57.7625,77.11,86,100,16.06,moderate rain
474,Marawi,PH,7.9986,124.2928,72.05,92,100,3.47,overcast clouds
475,Nouadhibou,MR,20.931,-17.0347,60.78,94,0,5.75,clear sky
476,Dunedin,NZ,-45.8742,170.5036,62.8,65,74,8.01,broken clouds
477,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,21.85,scattered clouds
478,Sunbury,AU,-37.5833,144.7333,62.83,88,75,10.36,broken clouds
479,Bitkine,TD,11.9801,18.2138,79.52,12,99,5.48,overcast clouds
480,Necochea,AR,-38.5473,-58.7368,56.82,67,0,18.45,clear sky
481,Nanma,CN,36.1817,118.1583,61.63,28,0,8.99,clear sky
482,Platanos,GR,37.6667,21.6167,56.08,82,54,5.5,broken clouds
483,Hay River,CA,60.8156,-115.7999,-0.42,85,20,6.91,few clouds
484,Makokou,GA,0.5738,12.8642,68.34,99,95,2.21,overcast clouds
485,Torbay,CA,47.6666,-52.7314,34.75,90,100,18.41,light shower snow
486,Rawson,AR,-43.3002,-65.1023,60.58,31,100,18.34,overcast clouds
487,Katherine,AU,-14.4667,132.2667,95.32,20,51,9.22,broken clouds
488,Gazanjyk,TM,39.2446,55.5154,78.66,15,0,1.88,clear sky
489,Yaan,NG,7.3833,8.5667,77.9,75,91,7.7,overcast clouds
490,Bay Roberts,CA,47.5999,-53.2648,35.51,93,98,5.01,light rain
491,Saint-Francois,FR,46.4154,3.9054,33.67,80,100,9.22,overcast clouds
492,Vestmannaeyjar,IS,63.4427,-20.2734,45.5,99,100,11.12,overcast clouds
493,Maxixe,MZ,-23.8597,35.3472,77.74,73,54,6.6,broken clouds
494,Bombay,IN,19.0144,72.8479,85.98,66,20,4.61,haze
495,Eureka,US,40.8021,-124.1637,48.92,85,4,3.0,clear sky
496,Dosso,NE,13.049,3.1937,76.71,9,88,2.21,overcast clouds
497,Koumra,TD,8.9126,17.5539,79.34,37,85,5.93,overcast clouds
498,Okhotsk,RU,59.3833,143.3,24.19,75,62,7.94,broken clouds
499,Guilin,CN,25.2819,110.2864,73.51,35,0,9.22,clear sky
500,Ongandjera,NA,-17.8833,15.0667,67.08,86,100,7.54,light rain
501,Plettenberg Bay,ZA,-34.0527,23.3716,60.04,90,92,3.85,overcast clouds
502,Paamiut,GL,61.994,-49.6678,30.97,74,94,10.96,overcast clouds
503,Irricana,CA,51.3237,-113.6048,33.93,81,83,4.83,broken clouds
504,Yuzhno-Kurilsk,RU,44.0306,145.8556,41.94,61,0,8.48,clear sky
505,Lancaster,US,40.2504,-76.2499,44.78,73,97,4.0,overcast clouds
506,Seoul,KR,37.5683,126.9778,61.99,29,0,5.75,clear sky
507,Nishihara,JP,26.1842,127.7558,64.06,88,75,12.66,light rain
508,Igarka,RU,67.4667,86.5833,12.2,91,100,5.35,overcast clouds
509,Bastrop,US,32.7562,-91.8724,55.69,84,0,4.09,clear sky
510,Flin Flon,CA,54.7682,-101.865,23.22,96,100,4.79,overcast clouds
511,Jinxiang,CN,27.4327,120.6062,57.31,58,4,12.08,clear sky
512,Swellendam,ZA,-34.0226,20.4417,58.08,90,58,2.59,broken clouds
513,Lompoc,US,34.6391,-120.4579,58.01,86,100,1.99,mist
514,Guaimaca,HN,14.5333,-86.8167,65.93,73,3,3.44,clear sky
515,Takaungu,KE,-3.6837,39.8566,79.29,75,95,7.67,light rain
516,Davila,PH,18.4726,120.5763,85.98,80,83,25.93,broken clouds
517,Santa Fe,AR,-31.6333,-60.7,64.99,70,86,5.01,overcast clouds
518,High Rock,BS,26.6208,-78.2833,73.42,83,100,11.68,overcast clouds
519,Oksfjord,NO,70.2396,22.3479,8.67,90,84,5.97,broken clouds
520,Castelo,BR,-20.6036,-41.1847,71.87,98,95,0.18,overcast clouds
521,Nhulunbuy,AU,-12.2333,136.7667,88.41,58,99,11.5,overcast clouds
522,Kushiro,JP,42.975,144.3747,50.95,43,20,18.41,few clouds
523,San Buenaventura,MX,27.0833,-101.5333,68.34,83,25,3.8,scattered clouds
524,Lokosovo,RU,61.1333,74.8167,22.98,91,98,1.07,overcast clouds
525,Kamenka,RU,51.3223,42.7678,51.55,77,83,20.24,broken clouds
526,Trani,IT,41.2727,16.4154,42.85,67,59,12.39,broken clouds
527,Port Macquarie,AU,-31.4333,152.9167,75.18,56,99,6.91,overcast clouds
528,Kaeo,NZ,-35.1,173.7833,73.33,80,96,3.69,overcast clouds
529,Mayumba,GA,-3.432,10.6554,76.23,92,100,5.23,overcast clouds
530,San Benito,US,36.6166,-121.0844,48.87,65,100,2.57,overcast clouds
