City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
554,Grenville,GD,78.85,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
555,Pointe Michel,DM,76.77,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
557,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
558,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
560,Vieques,PR,75.09,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
561,Chifeng,CN,62.28,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
564,Los Llanos De Aridane,ES,59.13,overcast clouds,28.6585,-17.9182,Valle Aridane
565,Awjilah,LY,69.55,broken clouds,29.1081,21.2869,المنزل
566,Bozhou,CN,66.72,clear sky,33.8772,115.7703,Haitian Hotel
568,Sikonge,TZ,66.11,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
569,Kentau,KZ,66.99,clear sky,43.5206,68.5094,Safary
570,Sipe Sipe,BO,61.29,scattered clouds,-17.45,-66.3833,Cabañas Oasis Marino
572,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
573,Kintampo,GH,76.06,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
574,Garissa,KE,81.27,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
575,Misratah,LY,59.43,overcast clouds,32.3754,15.0925,Almasa Hotel
577,Samarai,PG,79.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
580,Nikki,BJ,77.92,overcast clouds,9.9401,3.2108,Monnon
584,Campina Verde,BR,68.86,broken clouds,-19.5356,-49.4864,Hotel Lino
587,Lenine,UA,52.54,overcast clouds,45.2986,35.7771,Vostok
588,Porbandar,IN,84.96,clear sky,21.6422,69.6093,Lords Inn Porbandar
589,Vila Do Maio,CV,68.79,broken clouds,15.1333,-23.2167,Hotel Marilu
590,Dhangadhi,NP,94.64,clear sky,28.7079,80.5961,Hotel Devotee
591,Shahrud,IR,65.19,clear sky,36.4182,54.9763,Royal Hotel
592,Siuna,NI,69.21,few clouds,13.7332,-84.7773,hotel los chinitos
597,Golden,US,54.41,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
598,Rio Grande,BR,63.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
