City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Longyearbyen,SJ,2022-04-02 04:12:33,78.2186,15.6401,-5.96,77,20,10.36
104,Sistranda,NO,2022-04-02 04:12:34,63.7256,8.834,33.76,64,100,23.64
105,Verkhovyna,UA,2022-04-02 04:12:34,48.1557,24.7911,42.4,95,100,2.95
106,Minsk,BY,2022-04-02 04:07:56,53.9,27.5667,31.75,96,100,17.18
107,Adelaide,AU,2022-04-02 04:11:45,-34.9333,138.6,74.21,37,75,12.66
108,Rognedino,RU,2022-04-02 04:12:35,53.8015,33.5576,31.23,94,100,14.79
109,Kenai,US,2022-04-02 04:12:36,60.5544,-151.2583,40.03,65,40,11.5
110,Jacareacanga,BR,2022-04-02 04:12:36,-6.2222,-57.7528,72.37,98,23,1.25
111,Adre,TD,2022-04-02 04:12:37,13.4667,22.2,73.09,11,4,11.39
112,Sechura,PE,2022-04-02 04:12:37,-5.5569,-80.8222,71.37,78,79,12.17
113,Avarua,CK,2022-04-02 04:12:38,-21.2078,-159.775,84.25,70,20,3.44
114,Niamey,NE,2022-04-02 04:09:24,13.5137,2.1098,85.28,9,100,4.56
115,Georgetown,MY,2022-04-02 04:10:45,5.4112,100.3354,86.95,83,40,8.05
116,Pogranichnyy,RU,2022-04-02 04:12:38,44.4064,131.3769,50.18,20,54,7.83
117,Bengkulu,ID,2022-04-02 04:12:39,-3.8004,102.2655,84.79,64,17,7.36
118,Liseleje,DK,2022-04-02 04:12:39,56.0053,11.9483,30.06,77,27,13.85
119,Roald,NO,2022-04-02 04:12:40,62.5833,6.1333,37.76,69,75,9.22
120,Korla,CN,2022-04-02 04:12:40,41.7597,86.1469,56.98,28,0,5.7
121,Road Town,VG,2022-04-02 04:12:41,18.4167,-64.6167,77.0,76,5,21.14
122,Eldorado,BR,2022-04-02 04:12:41,-23.7869,-54.2836,67.08,96,96,5.84
123,Askarovo,RU,2022-04-02 04:12:42,53.3372,58.5089,36.55,93,100,8.95
124,Nemuro,JP,2022-04-02 04:12:42,43.3236,145.575,35.2,65,30,13.0
125,Chokurdakh,RU,2022-04-02 04:12:42,70.6333,147.9167,-0.31,84,45,4.21
126,Taoudenni,ML,2022-04-02 04:12:43,22.6783,-3.9836,75.63,8,0,5.79
127,Mehamn,NO,2022-04-02 04:12:43,71.0357,27.8492,22.26,83,100,5.1
128,Aksarayskiy,RU,2022-04-02 04:12:44,46.7924,48.0119,52.5,49,100,11.9
129,Esperance,AU,2022-04-02 04:12:44,-33.8667,121.9,77.29,46,13,6.22
130,Pundaguitan,PH,2022-04-02 04:12:45,6.3711,126.1689,81.9,76,91,4.03
131,Norman Wells,CA,2022-04-02 04:12:45,65.282,-126.8329,-14.04,98,67,4.21
132,Arraial Do Cabo,BR,2022-04-02 04:12:45,-22.9661,-42.0278,75.24,89,95,14.36
133,Agadez,NE,2022-04-02 04:12:46,19.75,10.25,76.06,4,100,5.12
134,Fereydun Kenar,IR,2022-04-02 04:12:46,36.6864,52.5225,58.91,64,48,5.88
135,Jamestown,US,2022-04-02 04:12:47,42.097,-79.2353,31.59,63,100,11.5
136,Bend,US,2022-04-02 04:13:16,44.0582,-121.3153,49.86,54,0,8.05
137,Itarema,BR,2022-04-02 04:13:48,-2.9248,-39.9167,75.85,90,93,5.39
138,Rabo De Peixe,PT,2022-04-02 04:13:48,37.8,-25.5833,54.91,88,40,12.66
139,Canete,CL,2022-04-02 04:13:48,-37.8,-73.4,51.76,93,7,3.38
140,Tiksi,RU,2022-04-02 04:13:49,71.6872,128.8694,13.64,87,53,6.08
141,Tuatapere,NZ,2022-04-02 04:13:49,-46.1333,167.6833,61.3,69,3,10.49
142,Nantucket,US,2022-04-02 04:13:50,41.2835,-70.0995,44.71,59,0,17.27
143,Ancud,CL,2022-04-02 04:13:51,-41.8697,-73.8203,54.23,94,58,7.72
144,Khatanga,RU,2022-04-02 04:13:51,71.9667,102.5,3.24,90,100,5.3
